NR. DOSAR,DATA ÎNREGISTRĂRII,TERMEN,SOLUȚIE
409/RD/2016,06.01.2016,,29.07.2016
414/RD/2016,06.01.2016,,29.07.2016
1206/RD/2016,08.01.2016,,29.07.2016
1210/RD/2016,08.01.2016,,29.07.2016
1222/RD/2016,08.01.2016,,22.02.2018
1227/RD/2016,08.01.2016,,09.08.2016
1233/RD/2016,08.01.2016,,08.12.2016
1236/RD/2016,08.01.2016,,21.12.2016
1238/RD/2016,08.01.2016,,21.12.2016
1541/RD/2016,11.01.2016,,21.12.2016
2560/RD/2016,14.01.2016,,09.08.2016
2668/RD/2016,14.01.2016,,27.01.2017
2738/RD/2016,15.01.2016,,09.08.2016
2746/RD/2016,15.01.2016,,09.08.2016
2751/RD/2016,15.01.2016,,08.12.2016
2756/RD/2016,15.01.2016,,29.07.2016
2764/RD/2016,15.01.2016,,25.11.2016
2768/RD/2016,15.01.2016,,29.07.2016
2774/RD/2016,15.01.2016,,29.07.2016
3022/RD/2016,18.01.2016,,29.07.2016
3320/RD/2016,19.01.2016,,29.07.2016
3324/RD/2016,19.01.2016,,29.07.2016
3589/RD/2016,20.01.2016,,29.07.2016
3730/RD/2016,20.01.2016,,25.11.2016
3788/RD/2016,20.01.2016,,29.07.2016
3793/RD/2016,20.01.2016,,29.07.2016
3799/RD/2016,20.01.2016,,29.07.2016
3850/RD/2016,20.01.2016,,06.07.2017
3851/RD/2016,20.01.2016,,06.07.2017
3852/RD/2016,20.01.2016,,06.07.2017
3854/RD/2016,20.01.2016,,06.07.2017
4367/RD/2016,22.01.2016,,06.07.2017
4369/RD/2016,22.01.2016,,06.07.2017
4376/RD/2016,22.01.2016,,06.07.2017
4389/RD/2016,22.01.2016,,21.12.2016
4396/RD/2016,22.01.2016,,14.10.2021
4400/RD/2016,22.01.2016,,21.12.2016
4402/RD/2016,22.01.2016,,29.07.2016
4408/RD/2016,22.01.2016,,29.07.2016
4409/RD/2016,22.01.2016,,29.07.2016
4414/RD/2016,22.01.2016,,29.07.2016
